FUND CASH ACCT SEQ,INVST PLAN ARR SEQ,ACCT CASH FUND,ACCT CASH FUND TYPE CDE,CCY ACCT CASH FUND CDE,LAST INGESTION TIMESTAMP,PRM_LNE_OF_BUS_CDE_FILTER,CTRY_CDE_FILTER,ENTITY_CDE_FILTER
152367,6354863,450000,56700E,8954, Current_timestamp(),147uc47 ,SAP10327T ,57SAT1 
152392,8632348,420000,56700E,8954, Current_timestamp(), 129ud41, SAP10987T, 57SAT2
152525,7356300,410000,56700E,8954, Current_timestamp(), 179uy40, SAP10704T, 57SAT3
152466,6356300,390000,56700E,8954, Current_timestamp(), 143ud34, SAP10327T, 57SAT4
152526,6356370,405000,56700E,8954, Current_timestamp(), 128ua42, SAP10187T, 57SAT5
152365,6876300,455500,56700E,8954, Current_timestamp(), 147uf39, SAP10287T, 57SAT6
152837,1035630,465000,56700E,8954, Current_timestamp(), 179ud47, SAP10787T, 57SAT7
152365,9356380,480000,56700E,8954, Current_timestamp(), 172ug48, SAP10327T, 57SAT8
152356,6356700,410000,56700E,8954, Current_timestamp(), 154ud42, SAP10527, 57SAT9
152357,6356701,410000,56700E,8955, Current_timestamp(), 154ud43, SAP10528, 57SAT10
152358,6356702,410000,56700E,8956, Current_timestamp(), 154ud44, SAP10529, 57SAT11
152359,6356703,410000,56700E,8957, Current_timestamp(), 154ud45, SAP10530, 57SAT12
152360,6356704,410000,56700E,8958, Current_timestamp(), 154ud46, SAP10531, 57SAT13
152361,6356705,410000,56700E,8959, Current_timestamp(), 154ud47, SAP10532, 57SAT14
152362,6356706,410000,56700E,8960, Current_timestamp(), 154ud48, SAP10533, 57SAT15
152363,6356707,410000,56700E,8961, Current_timestamp(), 154ud49, SAP10534, 57SAT16
152364,6356708,410000,56700E,8962, Current_timestamp(), 154ud50, SAP10535, 57SAT17
152365,6356709,410000,56700E,8963, Current_timestamp(), 154ud51, SAP10536, 57SAT18
152366,6356710,410000,56700E,8964, Current_timestamp(), 154ud52, SAP10537, 57SAT19
152367,6356711,410000,56700E,8965, Current_timestamp(), 154ud53, SAP10538, 57SAT20
152368,6356712,410000,56700E,8966, Current_timestamp(), 154ud54, SAP10539, 57SAT21
152369,6356713,410000,56700E,8967, Current_timestamp(), 154ud55, SAP10540, 57SAT22
152370,6356714,410000,56700E,8968, Current_timestamp(), 154ud56, SAP10541, 57SAT23
152371,6356715,410000,56700E,8969, Current_timestamp(), 154ud57, SAP10542, 57SAT24
152372,6356716,410000,56700E,8970, Current_timestamp(), 154ud58, SAP10543, 57SAT25
152373,6356717,410000,56700E,8971, Current_timestamp(), 154ud59, SAP10544, 57SAT26
152374,6356718,410000,56700E,8972, Current_timestamp(), 154ud60, SAP10545, 57SAT27
152375,6356719,410000,56700E,8973, Current_timestamp(), 154ud61, SAP10546, 57SAT28
152376,6356720,410000,56700E,8974, Current_timestamp(), 154ud62, SAP10547, 57SAT29
152377,6356721,410000,56700E,8975, Current_timestamp(), 154ud63, SAP10548, 57SAT30
152378,6356722,410000,56700E,8976, Current_timestamp(), 154ud64, SAP10549, 57SAT31
152379,6356723,410000,56700E,8977, Current_timestamp(), 154ud65, SAP10550, 57SAT32
152380,6356724,410000,56700E,8978, Current_timestamp(), 154ud66, SAP10551, 57SAT33
152381,6356725,410000,56700E,8979, Current_timestamp(), 154ud67, SAP10552, 57SAT34
152382,6356726,410000,56700E,8980, Current_timestamp(), 154ud68, SAP10553, 57SAT35
152383,6356727,410000,56700E,8981, Current_timestamp(), 154ud69, SAP10554, 57SAT36
152384,6356728,410000,56700E,8982, Current_timestamp(), 154ud70, SAP10555, 57SAT37
152385,6356729,410000,56700E,8983, Current_timestamp(), 154ud71, SAP10556, 57SAT38
152386,6356730,410000,56700E,8984, Current_timestamp(), 154ud72, SAP10557, 57SAT39
152387,6356731,410000,56700E,8985, Current_timestamp(), 154ud73, SAP10558, 57SAT40
152388,6356732,410000,56700E,8986, Current_timestamp(), 154ud74, SAP10559, 57SAT41
152389,6356733,410000,56700E,8987, Current_timestamp(), 154ud75, SAP10560, 57SAT42
152390,6356734,410000,56700E,8988, Current_timestamp(), 154ud76, SAP10561, 57SAT43
152391,6356735,410000,56700E,8989, Current_timestamp(), 154ud77, SAP10562, 57SAT44
152392,6356736,410000,56700E,8990, Current_timestamp(), 154ud78, SAP10563, 57SAT45
152393,6356737,410000,56700E,8991, Current_timestamp(), 154ud79, SAP10564, 57SAT46
152394,6356738,410000,56700E,8992, Current_timestamp(), 154ud80, SAP10565, 57SAT47
152395,6356739,410000,56700E,8993, Current_timestamp(), 154ud81, SAP10566, 57SAT48
152396,6356740,410000,56700E,8994, Current_timestamp(), 154ud82, SAP10567, 57SAT49
152397,6356741,410000,56700E,8995, Current_timestamp(), 154ud83, SAP10568, 57SAT50
152398,6356742,410000,56700E,8996, Current_timestamp(), 154ud84, SAP10569, 57SAT51
